,Player,Yahoo,ESPN,Team
629,Davis Martin,1.0,1.0,CWS
630,Moises Ballesteros,1.0,0.0,l c
631,Mitch Spence,1.0,1.0,OAK
632,Julian Merryweather,1.0,0.0,CHC
633,Brant Hurter,1.0,0.0,DET
634,Frankie Montas,1.0,2.0,l c
635,Elehuris Montero,1.0,0.0,l c
636,Jose A. Ferrer,1.0,0.0,WSH
637,Hunter Strickland,1.0,0.0,l c
638,Henry Davis,1.0,0.0,PIT
639,Jake Fraley,1.0,1.0,CIN
640,MJ Melendez,1.0,1.0,l c
641,Kyle Isbel,1.0,1.0,KC
642,Miguel Vargas,1.0,1.0,CWS
643,Cole Young,1.0,0.0,l c
644,Pierce Johnson,1.0,0.0,ATL
645,Louis Varland,1.0,0.0,MIN
646,Will Vest,1.0,1.0,DET
647,Wade Miley,1.0,0.0,l c
648,Ryan Brasier,1.0,0.0,l c
649,Sean Newcomb,1.0,0.0,BOS
650,Mickey Moniak,1.0,1.0,COL
651,Brayan Rocchio,1.0,1.0,CLE
652,Emiliano Teodo,1.0,0.0,l c
653,Eloy Jimenez,1.0,0.0,l c
654,Yasmani Grandal,1.0,0.0,l c
655,Thomas Harrington,1.0,0.0,l c
656,Harold Castro,1.0,0.0,l c
657,Giovanny Gallegos,1.0,0.0,l c
658,Christian Arroyo,1.0,0.0,l c
659,Connor Gillispie,1.0,1.0,MIA
660,Termarr Johnson,1.0,0.0,l c
661,Wander Franco,1.0,0.0,l c
662,Orlando Arcia,1.0,1.0,ATL
663,James McCann,1.0,0.0,l c
664,Hunter Renfroe,1.0,1.0,KC
665,Edouard Julien,1.0,1.0,MIN
666,Jesse Winker,1.0,3.0,NYM
667,Miguel Andujar,1.0,1.0,OAK
668,Yoan Moncada,1.0,0.0,l c
669,Lenyn Sosa,1.0,0.0,CWS
670,Will Wagner,1.0,0.0,TOR
671,Harold Ramirez,1.0,0.0,l c
672,Cristian Javier,1.0,1.0,l c
673,Myles Straw,1.0,0.0,TOR
674,Brady House,1.0,0.0,l c
675,Carson Whisenhunt,1.0,0.0,l c
676,Drew Smyly,1.0,0.0,l c
677,Ross Stripling,1.0,0.0,l c
678,Jose Iglesias,1.0,1.0,SD
679,Patrick Corbin,1.0,1.0,TEX
680,Justin Turner,1.0,1.0,CHC
681,Ryne Nelson,1.0,0.0,ARI
682,Reid Detmers,1.0,1.0,LAA
683,Gio Urshela,1.0,0.0,OAK
684,Tommy Pham,1.0,1.0,PIT
685,Kris Bryant,1.0,1.0,l c
686,Eric Wagaman,1.0,1.0,MIA
687,Joey Gallo,1.0,0.0,l c
688,Javier Baez,1.0,1.0,DET
689,Brooks Baldwin,1.0,1.0,CWS
690,Kolby Allard,1.0,0.0,l c
691,Enmanuel Valdez,1.0,0.0,PIT
692,Orelvis Martinez,1.0,0.0,l c
693,Alex Wood,1.0,0.0,l c
694,Esteury Ruiz,1.0,0.0,l c
695,Hurston Waldrep,1.0,0.0,l c
696,Bryan De La Cruz,1.0,2.0,l c
697,Ronny Mauricio,1.0,0.0,l c
698,James Outman,1.0,0.0,l c
699,Mike Clevinger,1.0,0.0,l c
700,Kevin Alcantara,1.0,0.0,l c
701,Brooks Raley,1.0,0.0,l c
702,Alek Manoah,1.0,0.0,l c
703,Caden Dana,1.0,0.0,l c
704,Ernie Clement,1.0,1.0,TOR
705,Ryan Thompson,1.0,0.0,ARI
706,Jack Kochanowicz,1.0,1.0,LAA
707,Brendan Rodgers,1.0,0.0,HOU
708,Endy Rodriguez,1.0,1.0,l c
709,Elias Diaz,1.0,0.0,SD
710,Kyle Higashioka,1.0,1.0,TEX
711,Santiago Espinal,1.0,0.0,CIN
712,Jose Siri,1.0,0.0,l c
713,Joe Boyle,1.0,1.0,l c
714,Sawyer Gipson-Long,1.0,0.0,l c
715,Justin Crawford,1.0,0.0,l c
716,Carson Fulmer,1.0,0.0,l c
717,Bryce Elder,1.0,0.0,ATL
718,Scott Barlow,1.0,0.0,CIN
719,Owen Caissie,1.0,0.0,l c
720,Justin Sterner,1.0,0.0,OAK
721,Jesus Tinoco,1.0,0.0,MIA
722,Bailey Falter,1.0,1.0,PIT
723,Michael Soroka,1.0,1.0,l c
724,Caleb Ferguson,1.0,0.0,PIT
725,Kyle Gibson,1.0,0.0,l c
726,Jose Miranda,1.0,1.0,l c
727,Kevin Kiermaier,1.0,0.0,l c
728,Steven Okert,1.0,1.0,HOU
729,Huascar Brazoban,1.0,1.0,NYM
730,Ryan Borucki,1.0,0.0,PIT
731,Carmen Mlodzinski,1.0,0.0,PIT
732,Kevin Kelly,1.0,0.0,l c
733,Jalen Beeks,1.0,0.0,ARI
734,Colin Holderman,1.0,0.0,l c
735,Mitch Garver,1.0,1.0,SEA
736,Curtis Mead,1.0,0.0,TB
737,Richie Palacios,1.0,1.0,l c
738,Travis d'Arnaud,1.0,1.0,LAA
739,Tyler Ferguson,1.0,0.0,OAK
740,Nick Sandlin,1.0,0.0,l c
741,Nick Allen,1.0,0.0,ATL
742,J.D. Martinez,1.0,0.0,l c
743,Jhonkensy Noel,1.0,1.0,CLE
744,Randal Grichuk,1.0,0.0,ARI
745,Tayler Scott,1.0,0.0,HOU
746,Paul DeJong,1.0,1.0,l c
747,Luis Garcia,1.0,1.0,l c
748,Andrew Kittredge,1.0,0.0,l c
749,Tyson Miller,1.0,0.0,l c
750,Jose Leclerc,1.0,0.0,OAK
751,Craig Kimbrel,1.0,0.0,l c
752,Jack Lopez,1.0,0.0,l c
753,Jackson Ferris,1.0,0.0,l c
754,Anthony Rizzo,1.0,0.0,l c
755,Jerar Encarnacion,1.0,0.0,l c
756,Xavier Isaac,1.0,0.0,l c
757,Max Kranick,1.0,1.0,NYM
758,Jorge Lopez,1.0,0.0,l c
759,Patrick Wisdom,1.0,0.0,l c
760,Thomas Saggese,1.0,1.0,STL
761,Edgar Quero,1.0,1.0,CWS
762,Hector Neris,1.0,0.0,l c
763,Ramon Urias,1.0,1.0,BAL
764,Derek Law,1.0,0.0,l c
765,David Hamilton,1.0,0.0,BOS
766,Chase Petty,1.0,0.0,l c
767,Agustin Ramirez,1.0,0.0,l c
768,Andrew Chafin,1.0,0.0,l c
769,Jarred Kelenic,1.0,1.0,ATL
770,Kyle Nelson,0.0,0.0,l c
771,Ian Gibaut,0.0,0.0,CIN
772,Scott Blewett,0.0,0.0,l c
773,Jason Heyward,0.0,0.0,l c
774,Michael Tonkin,0.0,0.0,l c
775,Casey Legumina,0.0,0.0,SEA
776,Kevin Herget,0.0,0.0,l c
777,Luis Urias,0.0,0.0,OAK
778,Nick Robertson,0.0,0.0,l c
779,Sean Reynolds,0.0,0.0,l c
780,Logan VanWey,0.0,0.0,HOU
781,Luis Matos,0.0,0.0,SF
782,Josh Rojas,0.0,0.0,l c
783,Hunter Bigge,0.0,0.0,TB
784,Joe Rock,0.0,0.0,l c
785,Zack Thompson,0.0,0.0,l c
786,Joe Ross,0.0,0.0,PHI
787,Dane Myers,0.0,0.0,MIA
788,Shinnosuke Ogasawara,0.0,0.0,l c
789,Daniel Robert,0.0,0.0,l c
790,Bennett Sousa,0.0,0.0,HOU
791,Max Lazar,0.0,0.0,l c
792,Keynan Middleton,0.0,0.0,l c
793,Justin Hagenman,0.0,0.0,l c
794,Lake Bachar,0.0,0.0,MIA
795,Steven Wilson,0.0,0.0,CWS
796,DL Hall,0.0,0.0,l c
797,Grant Holman,0.0,0.0,l c
798,Justin Wrobleski,0.0,0.0,l c
799,James McArthur,0.0,0.0,l c
800,Jonathan Bowlan,0.0,0.0,l c
801,Hunter Stratton,0.0,0.0,l c
802,Carson Ragsdale,0.0,0.0,l c
803,Kyle Nicolas,0.0,0.0,PIT
804,Seth Brown,0.0,0.0,OAK
805,Grant Anderson,0.0,0.0,MIL
806,Forrest Whitley,0.0,0.0,HOU
807,Slade Cecconi,0.0,0.0,l c
808,Eric Orze,0.0,0.0,TB
809,Luke Little,0.0,0.0,l c
810,Jacob Latz,0.0,0.0,TEX
811,Trevor Richards,0.0,0.0,l c
812,Matt Manning,0.0,0.0,l c
813,Alex Faedo,0.0,0.0,l c
814,Sam Long,0.0,0.0,l c
815,Yerry De Los Santos,0.0,0.0,l c
816,Cody Poteet,0.0,0.0,BAL
817,Garrett McDaniels,0.0,0.0,LAA
818,Keegan Thompson,0.0,0.0,l c
819,Nate Lavender,0.0,0.0,l c
820,Luis Guerrero,0.0,0.0,l c
821,Kaleb Ort,0.0,0.0,l c
822,Shawn Dubin,0.0,0.0,l c
823,Chris Devenski,0.0,0.0,l c
824,Tommy Nance,0.0,0.0,l c
825,Ian Anderson,0.0,0.0,LAA
826,Triston McKenzie,0.0,0.0,CLE
827,Yilber Diaz,0.0,0.0,l c
828,Dauri Moreta,0.0,0.0,l c
829,Stephen Kolek,0.0,0.0,l c
830,Brady Basso,0.0,0.0,l c
831,Mason Black,0.0,0.0,l c
832,Matt Bowman,0.0,0.0,BAL
833,Tyler Matzek,0.0,0.0,l c
834,Allan Winans,0.0,0.0,l c
835,Michael Darrell-Hicks,0.0,0.0,LAA
836,Chris Taylor,0.0,0.0,LAD
837,Rafael Montero,0.0,0.0,ATL
838,Patrick Murphy,0.0,0.0,l c
839,Ryan Bergert,0.0,0.0,l c
840,Mike Burrows,0.0,0.0,l c
841,Brandyn Garcia,0.0,0.0,l c
842,Bradgley Rodriguez,0.0,0.0,l c
843,George Soriano,0.0,0.0,l c
844,Kyle Leahy,0.0,0.0,STL
845,Jared Shuster,0.0,0.0,CWS
846,Chris Roycroft,0.0,0.0,l c
847,Freddy Fermin,0.0,1.0,KC
848,Josh Simpson,0.0,0.0,l c
849,Omar Cruz,0.0,0.0,l c
850,Jose Ruiz,0.0,0.0,PHI
851,Declan Cronin,0.0,0.0,l c
852,Jesse Chavez,0.0,0.0,l c
853,Cionel Perez,0.0,0.0,BAL
854,Colton Gordon,0.0,0.0,l c
855,Ryan Yarbrough,0.0,0.0,NYY
856,Brad Keller,0.0,0.0,CHC
857,Spencer Turnbull,0.0,0.0,l c
858,Keider Montero,0.0,0.0,DET
859,Justin Lawrence,0.0,0.0,PIT
860,Gus Varland,0.0,0.0,l c
861,Jose Quijada,0.0,0.0,l c
862,Walter Pennington,0.0,0.0,l c
863,Penn Murfee,0.0,0.0,CWS
864,Jacob Webb,0.0,0.0,TEX
865,Ryan Zeferjahn,0.0,0.0,LAA
866,Tim Mayza,0.0,0.0,l c
867,Connor Prielipp,0.0,0.0,l c
868,Troy Taylor,0.0,0.0,l c
869,Alek Jacob,0.0,0.0,SD
870,Tayler Saucedo,0.0,0.0,l c
871,Andrew Misiaszek,0.0,0.0,l c
872,Erik Swanson,0.0,0.0,l c
873,Brent Headrick,0.0,0.0,l c
874,Clayton Beeter,0.0,0.0,l c
875,Ethan Roberts,0.0,0.0,CHC
876,Kendall Graveman,0.0,0.0,l c
877,Brusdar Graterol,0.0,0.0,l c
878,Braxton Ashcraft,0.0,0.0,l c
879,Scott Alexander,0.0,0.0,COL
880,Cole Sulser,0.0,0.0,l c
881,Trevor Stephan,0.0,0.0,l c
882,Trevor McDonald,0.0,0.0,l c
883,Anthony Veneziano,0.0,0.0,MIA
884,Spencer Bivens,0.0,0.0,SF
885,Jacob Waguespack,0.0,0.0,l c
886,Tim Hill,0.0,0.0,NYY
887,Marc Church,0.0,0.0,l c
888,Jake Cousins,0.0,0.0,l c
889,Aaron Ashby,0.0,0.0,l c
890,Evan Sisk,0.0,0.0,KC
891,Mike Vasil,0.0,0.0,CWS
892,Tristan Beck,0.0,0.0,l c
893,Jacob Lopez,0.0,0.0,OAK
894,Josh Walker,0.0,0.0,l c
895,Fraser Ellard,0.0,0.0,l c
896,Jacob Barnes,0.0,0.0,l c
897,Mike Tauchman,0.0,0.0,l c
898,Ronny Henriquez,0.0,0.0,MIA
899,Riley O'Brien,0.0,0.0,l c
900,Chase Silseth,0.0,0.0,l c
901,Elvis Peguero,0.0,0.0,l c
902,Gunnar Hoglund,0.0,0.0,l c
903,Luis Contreras,0.0,0.0,l c
904,Dillon Tate,0.0,0.0,TOR
905,Colin Selby,0.0,0.0,l c
906,Carlos Hernandez,0.0,0.0,PHI
907,Josh Winckowski,0.0,0.0,BOS
908,Matt Waldron,0.0,0.0,l c
909,Steven Cruz,0.0,0.0,KC
910,Brent Suter,0.0,0.0,CIN
911,Gordon Graceffo,0.0,0.0,l c
912,Tommy Henry,0.0,0.0,l c
913,Hogan Harris,0.0,0.0,l c
914,Yoendrys Gomez,0.0,0.0,NYY
915,Ron Marinaccio,0.0,0.0,l c
916,Tyler Gilbert,0.0,0.0,CWS
917,Bryan Hoeing,0.0,0.0,l c
918,Dylan Dodd,0.0,0.0,l c
919,Michael Petersen,0.0,0.0,l c
920,Mason Thompson,0.0,0.0,l c
921,John McMillon,0.0,0.0,l c
922,Alex Lange,0.0,0.0,l c
923,Eli Morgan,0.0,0.0,l c
924,Colin Poche,0.0,0.0,WSH
925,Chase Lee,0.0,0.0,l c
926,Bryse Wilson,0.0,0.0,CWS
927,JT Brubaker,0.0,0.0,l c
928,Victor Vodnik,0.0,0.0,COL
929,Nate Pearson,0.0,0.0,l c
930,Nick Hernandez,0.0,0.0,l c
931,Zack Kelly,0.0,0.0,BOS
932,Rowdy Tellez,0.0,0.0,SEA
933,Mason Englert,0.0,0.0,TB
934,Jack Suwinski,0.0,0.0,PIT
935,Carlos Vargas,0.0,0.0,SEA
936,Johan Rojas,0.0,1.0,PHI
937,Luis Garcia,0.0,0.0,LAD
938,Kyle Backhus,0.0,0.0,l c
939,Anthony Simonelli,0.0,0.0,l c
940,J.B. Wendelken,0.0,0.0,l c
941,Evan Fitterer,0.0,0.0,l c
942,Jake Bloss,0.0,0.0,l c
943,Guillo Zuniga,0.0,0.0,l c
944,Tanner Rainey,0.0,0.0,l c
945,Ethan Small,0.0,0.0,l c
946,Chayce McDermott,0.0,0.0,l c
947,Jonah Tong,0.0,0.0,l c
948,Wil Jensen,0.0,0.0,l c
949,Isaiah Campbell,0.0,0.0,l c
950,Eric Cerantola,0.0,0.0,l c
951,Brett de Geus,0.0,0.0,l c
952,Brooks Kriske,0.0,0.0,l c
953,Anderson Pilar,0.0,0.0,l c
954,Anthony Molina,0.0,0.0,l c
955,Andrew Moore,0.0,0.0,l c
956,Drew Sommers,0.0,0.0,l c
957,Jordan Balazovic,0.0,0.0,l c
958,Dylan Covey,0.0,0.0,l c
959,Evan Reifert,0.0,0.0,l c
960,Reiver Sanmartin,0.0,0.0,l c
961,Enoli Paredes,0.0,0.0,l c
962,Orlando Ribalta,0.0,0.0,l c
963,Tekoah Roby,0.0,0.0,l c
964,Vinny Nittoli,0.0,0.0,l c
965,Adisyn Coffey,0.0,0.0,l c
966,Seth Johnson,0.0,0.0,l c
967,Jose Cuas,0.0,0.0,l c
968,Bailey Horn,0.0,0.0,DET
969,Ryan Jensen,0.0,0.0,l c
970,Austin Bergner,0.0,0.0,l c
971,Tanner Gordon,0.0,0.0,l c
972,Chad Kuhl,0.0,0.0,l c
973,Austin Cox,0.0,0.0,l c
974,Jose Acuna,0.0,0.0,l c
975,John Curtiss,0.0,0.0,l c
976,Trace Bright,0.0,0.0,l c
977,Valente Bellozo,0.0,0.0,l c
978,Luinder Avila,0.0,0.0,l c
979,Austin Warren,0.0,0.0,l c
980,Brad Lord,0.0,0.0,WSH
981,Andrew Bash,0.0,0.0,l c
982,Michael Mercado,0.0,0.0,l c
983,Tyler Wells,0.0,0.0,l c
984,Gabriel Hughes,0.0,0.0,l c
985,Dan Altavilla,0.0,0.0,l c
986,Darren McCaughan,0.0,0.0,l c
987,Braden Nett,0.0,0.0,l c
988,Bruce Zimmermann,0.0,0.0,l c
989,Chris Stratton,0.0,0.0,KC
990,Davis Daniel,0.0,0.0,l c
991,Zach Messinger,0.0,0.0,l c
992,Trent Harris,0.0,0.0,l c
993,Alex Cornwell,0.0,0.0,l c
994,Noah Davis,0.0,0.0,LAD
995,Chase Solesky,0.0,0.0,l c
996,Max Rajcic,0.0,0.0,l c
997,Antonio Jimenez,0.0,0.0,l c
998,Connor Noland,0.0,0.0,l c
999,Konnor Pilkington,0.0,0.0,l c
1000,Justin Jarvis,0.0,0.0,l c
1001,Misael Tamarez,0.0,0.0,l c
1002,Parker Mushinski,0.0,0.0,l c
1003,K.C. Hunt,0.0,0.0,l c
1004,Chris Murphy,0.0,0.0,l c
1005,Gavin Hollowell,0.0,0.0,l c
1006,Brett Kerry,0.0,0.0,l c
1007,Anthony Hoopii-Tuionetoa,0.0,0.0,l c
1008,Joel Peguero,0.0,0.0,l c
1009,Dom Hamel,0.0,0.0,l c
1010,Nelson Rada,0.0,0.0,l c
1011,Matthew Batten,0.0,0.0,l c
1012,Diego Castillo,0.0,0.0,l c
1013,Cristian Pache,0.0,0.0,l c
1014,Rico Garcia,0.0,0.0,l c
1015,Jordyn Adams,0.0,0.0,l c
1016,Daz Cameron,0.0,0.0,l c
1017,Jacob Hurtubise,0.0,0.0,l c
1018,Hunter Barco,0.0,0.0,l c
1019,Kody Huff,0.0,0.0,l c
1020,BJ Murray,0.0,0.0,l c
1021,Taylor Young,0.0,0.0,l c
1022,Austin Gomber,0.0,0.0,l c
1023,Grant Hartwig,0.0,0.0,l c
1024,Brandon Bielak,0.0,0.0,l c
1025,Drue Hackenberg,0.0,0.0,l c
1026,Owen White,0.0,0.0,l c
1027,Austin Shenton,0.0,0.0,l c
1028,Eiker Huizi,0.0,0.0,l c
1029,Samuel Mejia,0.0,0.0,l c
1030,J.C. Flowers,0.0,0.0,l c
1031,Ryan Cusick,0.0,0.0,l c
1033,Jack O'Loughlin,0.0,0.0,l c
1034,Eric Adler,0.0,0.0,l c
1035,Chris Williams,0.0,0.0,l c
1036,Troy Johnston,0.0,0.0,l c
1037,Yanquiel Fernandez,0.0,0.0,l c
1038,Brice Matthews,0.0,0.0,l c
1039,Payton Eeles,0.0,0.0,l c
1040,Gavin Cross,0.0,0.0,l c
1041,Cade Marlowe,0.0,0.0,l c
1042,Peyton Pallette,0.0,0.0,l c
1043,Wyatt Young,0.0,0.0,l c
1044,Rafael Lantigua,0.0,0.0,l c
1045,Davis Wendzel,0.0,0.0,l c
1046,Bryan Shaw,0.0,0.0,l c
1047,Nick Nastrini,0.0,0.0,l c
1048,Evan Justice,0.0,0.0,l c
1049,Bradley Blalock,0.0,0.0,l c
1050,Luis Mey,0.0,0.0,l c
1051,Jairo Iriarte,0.0,0.0,l c
1052,Luis Peralta,0.0,0.0,COL
1053,Devereaux Harrison,0.0,0.0,l c
1054,Alan Busenitz,0.0,0.0,l c
1055,Avery Weems,0.0,0.0,l c
1056,Jordan Weems,0.0,0.0,l c
1057,Jimmy Joyce,0.0,0.0,l c
1058,Tyler Jay,0.0,0.0,l c
1059,Justin King,0.0,0.0,l c
1060,Matt Gage,0.0,0.0,l c
1061,Daniel Bard,0.0,0.0,l c
1062,Juan Mejia,0.0,0.0,l c
1063,Joan Adon,0.0,0.0,l c
1064,Taylor Floyd,0.0,0.0,l c
1065,Robert Kwiatkowski,0.0,0.0,l c
1066,Jack Anderson,0.0,0.0,l c
1067,Noah Murdock,0.0,0.0,OAK
1068,Andrew Alvarez,0.0,0.0,l c
1069,Garrett Acton,0.0,0.0,l c
1070,Anthony Maldonado,0.0,0.0,l c
1071,Geoff Hartlieb,0.0,0.0,l c
1072,Randy Labaut,0.0,0.0,l c
1073,Cole Winn,0.0,0.0,l c
1074,Carson Palmquist,0.0,0.0,l c
1075,Jacob Wallace,0.0,0.0,l c
1076,William Kempner,0.0,0.0,l c
1077,Kelvin Caceres,0.0,0.0,l c
1078,Michael Flynn,0.0,0.0,l c
1079,Albert Abreu,0.0,0.0,l c
1080,Deivi Garcia,0.0,0.0,l c
1081,Sam Bachman,0.0,0.0,l c
1082,Will Klein,0.0,0.0,l c
1083,Shintaro Fujinami,0.0,0.0,l c
1084,Chase Shugart,0.0,0.0,PIT
1085,Braydon Fisher,0.0,0.0,l c
1086,Logan Gillaspie,0.0,0.0,SD
1087,Zach Maxwell,0.0,0.0,l c
1088,Drew Smith,0.0,0.0,l c
1089,Patrick Sandoval,0.0,0.0,l c
1090,Juan Morillo,0.0,0.0,ARI
1091,Justin Anderson,0.0,0.0,l c
1092,Cole Henry,0.0,0.0,WSH
1093,Trevor Gott,0.0,0.0,l c
1094,Michael Fulmer,0.0,0.0,l c
1095,Tyrone Taylor,0.0,0.0,NYM
1096,Colten Brewer,0.0,0.0,l c
1097,Lucas Sims,0.0,0.0,WSH
1098,Devin Sweet,0.0,0.0,l c
1099,Dietrich Enns,0.0,0.0,l c
1100,Jaden Hill,0.0,0.0,COL
1101,Elvin Rodriguez,0.0,0.0,l c
1102,Andrew Morris,0.0,0.0,l c
1103,Roansy Contreras,0.0,0.0,l c
1104,Jackson Kowar,0.0,0.0,l c
1105,Bryce Jarvis,0.0,0.0,l c
1106,Yosver Zulueta,0.0,0.0,l c
1107,Jason Alexander,0.0,0.0,l c
1108,Ryan Loutos,0.0,0.0,l c
1109,Cristian Mena,0.0,0.0,l c
1110,Nick Anderson,0.0,0.0,l c
1111,Logan Evans,0.0,0.0,l c
1112,Luis Curvelo,0.0,0.0,l c
1113,Blas Castano,0.0,0.0,l c
1114,Will Dion,0.0,0.0,l c
1115,Edgardo Henriquez,0.0,0.0,l c
1116,Jeff Brigham,0.0,0.0,l c
1117,AJ Blubaugh,0.0,0.0,l c
1118,Jose Suarez,0.0,0.0,ATL
1119,Anthony Misiewicz,0.0,0.0,l c
1120,Sean Reid-Foley,0.0,0.0,l c
1121,Huascar Ynoa,0.0,0.0,l c
1122,Kade Strowd,0.0,0.0,l c
1123,Gerson Garabito,0.0,0.0,l c
1124,Angel Chivilli,0.0,0.0,COL
1125,Ty Madden,0.0,0.0,l c
1126,Jake Bird,0.0,0.0,COL
1127,Miguel Castro,0.0,0.0,l c
1128,Connor Thomas,0.0,0.0,l c
1129,Amos Willingham,0.0,0.0,l c
1130,Kyle Amendt,0.0,0.0,l c
1131,T.J. McFarland,0.0,0.0,OAK
1132,Carson Seymour,0.0,0.0,l c
1133,Luarbert Arias,0.0,0.0,l c
1134,Franco Aleman,0.0,0.0,l c
1135,Carlos Rodriguez,0.0,0.0,l c
1136,Albert Suarez,0.0,0.0,l c
1137,Eduardo Salazar,0.0,0.0,WSH
1138,Jhonathan Diaz,0.0,0.0,l c
1139,Luis F. Castillo,0.0,0.0,l c
1140,Zach Brzykcy,0.0,0.0,l c
1141,Tom Cosgrove,0.0,0.0,l c
1142,Andrew Saalfrank,0.0,0.0,l c
1143,Cody Bolton,0.0,0.0,l c
1144,James Karinchak,0.0,0.0,l c
1145,Domingo Gonzalez,0.0,0.0,l c
1146,Scott Effross,0.0,0.0,l c
1147,Sam Moll,0.0,0.0,l c
1148,Sem Robberse,0.0,0.0,l c
1149,Jake Woodford,0.0,0.0,l c
1150,Jhony Brito,0.0,0.0,l c
1151,Angel Perdomo,0.0,0.0,l c
1152,Jack Neely,0.0,0.0,l c
1153,Jackson Rutledge,0.0,0.0,WSH
1154,Miguel Ullola,0.0,0.0,l c
1155,J.P. Feyereisen,0.0,0.0,ARI
1156,Nick Frasso,0.0,0.0,l c
1157,Andry Lara,0.0,0.0,WSH
1158,Juan Nunez,0.0,0.0,l c
1159,Tyler Zuber,0.0,0.0,l c
1160,Cole Wilcox,0.0,0.0,TB
1161,Steven Zobac,0.0,0.0,l c
1162,Michael Kelly,0.0,0.0,l c
1163,Matt Svanson,0.0,0.0,STL
1164,Adrian Houser,0.0,0.0,l c
1165,Austin Krob,0.0,0.0,l c
1166,Rolddy Munoz,0.0,0.0,l c
1167,Ian Bedell,0.0,0.0,l c
1168,Patrick Monteverde,0.0,0.0,l c
1169,Tyler Owens,0.0,0.0,l c
1170,Casey Lawrence,0.0,0.0,SEA
1171,Lyon Richardson,0.0,0.0,l c
1172,Matt Sauer,0.0,0.0,l c
1173,Jake Eder,0.0,0.0,l c
1174,Zak Kent,0.0,0.0,l c
1175,Randy Dobnak,0.0,0.0,l c
1176,Dakota Hudson,0.0,0.0,l c
1177,Grant Wolfram,0.0,0.0,l c
1178,Peter Strzelecki,0.0,0.0,l c
1179,Lael Lockhart,0.0,0.0,l c
1180,Connor Phillips,0.0,0.0,l c
1181,Josiah Gray,0.0,0.0,l c
1182,Luis Patino,0.0,0.0,l c
1183,Bryan Mata,0.0,0.0,l c
1184,Marco Raya,0.0,0.0,l c
1185,Kyle Brnovich,0.0,0.0,l c
1186,Connor Brogdon,0.0,0.0,l c
1187,Winston Santos,0.0,0.0,l c
1188,Tyler Phillips,0.0,0.0,MIA
1189,Adam Mazur,0.0,0.0,l c
1190,Travis Adams,0.0,0.0,l c
1191,Elvis Alvarado,0.0,0.0,l c
1192,Robinson Pina,0.0,0.0,l c
1193,Andre Granillo,0.0,0.0,l c
1194,Jonathan Hernandez,0.0,0.0,l c
1195,Zach Agnos,0.0,0.0,l c
1196,Brandon Walter,0.0,0.0,l c
1197,J.P. France,0.0,0.0,l c
1198,Jack Dashwood,0.0,0.0,l c
1199,Dane Dunning,0.0,0.0,l c
1200,Parker Messick,0.0,0.0,l c
1201,Kyle Tyler,0.0,0.0,l c
1202,Luis Frias,0.0,0.0,l c
1203,Tyler Mattison,0.0,0.0,l c
1204,Angel Bastardo,0.0,0.0,l c
1205,Jimmy Herget,0.0,0.0,COL
1206,Griff McGarry,0.0,0.0,l c
1207,Francis Pena,0.0,0.0,l c
1208,Trey McGough,0.0,0.0,l c
1209,Roddery Munoz,0.0,0.0,l c
1210,Doug Nikhazy,0.0,0.0,l c
1211,Taylor Clarke,0.0,0.0,l c
1212,Matt Pushard,0.0,0.0,l c
1213,Cory Lewis,0.0,0.0,l c
1214,Zach Thompson,0.0,0.0,l c
1215,Joey Lucchesi,0.0,0.0,l c
1216,Josh Ekness,0.0,0.0,l c
1217,Caleb Boushley,0.0,0.0,TEX
1218,Alan Rangel,0.0,0.0,l c
1219,Trevor Rogers,0.0,0.0,l c
1220,Janson Junk,0.0,0.0,l c
1221,Joey Estes,0.0,0.0,l c
1222,Alex Pham,0.0,0.0,l c
1223,Joey Gerber,0.0,0.0,l c
1224,Cooper Criswell,0.0,0.0,l c
1225,John Rooney,0.0,0.0,l c
1226,Scott McGough,0.0,0.0,l c
1227,Javier Vaz,0.0,0.0,l c
1228,Max Stassi,0.0,0.0,l c
1229,Nick Sogard,0.0,0.0,l c
1230,Darrien Miller,0.0,0.0,l c
1231,Christian Cairo,0.0,0.0,l c
1232,Jakob Marsee,0.0,0.0,l c
1233,Jack Dunn,0.0,0.0,l c
1234,Eguy Rosario,0.0,0.0,l c
1235,Brett Harris,0.0,0.0,l c
1236,David Bote,0.0,0.0,l c
1237,Hayden Senger,0.0,0.0,NYM
1238,Jared Serna,0.0,0.0,l c
1239,Kenedy Corona,0.0,0.0,l c
1240,Denzel Clarke,0.0,0.0,l c
1241,Albert Almora Jr.,0.0,0.0,l c
1242,Greg Weissert,0.0,0.0,BOS
1243,Logan Driscoll,0.0,0.0,l c
1244,Darren Baker,0.0,0.0,l c
1245,Michael Helman,0.0,0.0,l c
1246,Reese McGuire,0.0,0.0,l c
1247,Jared Young,0.0,0.0,l c
1248,Daniel Vogelbach,0.0,0.0,l c
1249,Owen Miller,0.0,0.0,l c
1250,Garrett Stubbs,0.0,0.0,l c
1251,Jason Delay,0.0,0.0,l c
1252,Luis Guillorme,0.0,0.0,l c
1253,Jorbit Vivas,0.0,0.0,l c
1254,Cooper Hummel,0.0,0.0,l c
1255,Chadwick Tromp,0.0,0.0,l c
1256,Steward Berroa,0.0,0.0,l c
1257,Milan Tolentino,0.0,0.0,l c
1258,Brewer Hicklen,0.0,0.0,l c
1259,Nick Dunn,0.0,0.0,l c
1260,Brian Serven,0.0,0.0,l c
