,Player,Team,Pos,Age,ID,HitTool,Discipline,Power,Speed,Durability
316,Marcelo Alcala,CWS,CF/RF/LF,19.6,808708,,,,,
317,Christian Gonzalez,CWS,RF/LF/CF,19.2,822619,,,,,
318,Frank Mieses,CWS,CF/RF/LF,17.7,830040,,,,,
319,Alan Escobar,CWS,LF/RF,17.3,830050,,,,,
320,Steven Kwan,CLE,LF,28.2,680757,,,,104.0,125.0
321,George Valera,CLE,RF/LF,25.0,671655,98.0,101.0,109.0,87.0,
322,Jose Ramirez,CLE,3B,33.1,608070,,,,119.0,129.0
323,Kyle Manzardo,CLE,1B,25.3,700932,102.0,113.0,118.0,85.0,119.0
324,Chase DeLauter,CLE,RF/CF/LF,24.1,800050,101.0,118.0,116.0,86.0,
325,Gabriel Arias,CLE,SS/3B/2B,25.7,672356,103.0,,110.0,107.0,115.0
326,C.J. Kayfus,CLE,1B/RF/LF,24.0,692216,105.0,97.0,117.0,97.0,112.0
327,Bo Naylor,CLE,C,25.7,666310,99.0,113.0,117.0,90.0,112.0
328,Brayan Rocchio,CLE,2B/SS,24.8,677587,101.0,116.0,104.0,108.0,125.0
329,Austin Hedges,CLE,C,33.2,595978,,,,94.0,90.0
330,Daniel Schneemann,CLE,2B/3B/CF,28.8,682177,102.0,104.0,100.0,100.0,114.0
331,Angel Martinez,CLE,CF/2B/LF,23.8,682657,105.0,99.0,102.0,99.0,120.0
332,Johnathan Rodriguez,CLE,RF/LF,26.0,671286,100.0,99.0,118.0,87.0,110.0
333,David Fry,CLE,C/1B/LF,30.0,681807,103.0,,,92.0,89.0
334,Will Brennan,CLE,RF/LF/CF,27.8,686823,108.0,,93.0,97.0,89.0
335,Dom Nunez,CLE,C,30.8,624513,92.0,110.0,95.0,88.0,91.0
336,Cooper Ingle,CLE,C,23.7,694876,101.0,129.0,102.0,84.0,106.0
337,Kody Huff,CLE,C,24.9,687627,97.0,98.0,92.0,89.0,101.0
338,Cameron Barstad,CLE,C,24.9,677319,99.0,87.0,98.0,82.0,85.0
339,Johnny Tincher,CLE,C,24.2,814816,99.0,104.0,91.0,85.0,81.0
340,Jacob Cozart,CLE,C,22.8,695524,101.0,102.0,101.0,81.0,96.0
341,Bennett Thompson,CLE,C,22.9,701750,102.0,116.0,94.0,95.0,96.0
342,Tyler Howard,CLE,C,21.6,804946,,,,,
343,Logun Clark,CLE,C,22.4,800621,98.0,95.0,92.0,88.0,87.0
344,Cameron Peebles,CLE,C,21.8,702555,,,,,
345,Pedro Dalmagro,CLE,C/1B,19.9,808116,,,,,
346,Victor Izturis,CLE,C/1B,20.6,703196,,,,,
347,David Leon,CLE,C/1B,21.8,699235,,,,,
348,Gustavo Baptista,CLE,C/1B,17.7,830000,,,,,
349,Reiner Herrera,CLE,C,20.0,808096,,,,,
350,Ralphy Velazquez,CLE,1B/LF,20.4,806252,103.0,100.0,114.0,91.0,112.0
351,Maick Collado,CLE,1B/3B,22.9,691408,104.0,111.0,92.0,89.0,95.0
352,Nolan Schubart,CLE,1B/RF/LF,21.5,702278,90.0,,,,
353,Riley Nelson,CLE,1B,21.9,826043,102.0,,,,
354,Anthony Martinez,CLE,1B,21.6,814452,,,,,
355,Luis Merejo,CLE,1B/RF/LF,19.4,808153,95.0,93.0,110.0,102.0,109.0
356,Luis R. De La Cruz,CLE,1B/3B,19.1,821139,,,,,
357,Randy Martinez,CLE,1B/3B/RF,18.5,821690,,,,,
358,Juan Brito,CLE,2B/1B/RF,24.1,682877,104.0,109.0,101.0,98.0,
359,Travis Bazzana,CLE,2B,23.2,683953,101.0,112.0,103.0,106.0,90.0
360,Christian Cairo,CLE,2B/3B/LF,24.4,686551,96.0,107.0,83.0,120.0,103.0
361,Christian Knapczyk,CLE,2B/3B/SS,23.9,694387,102.0,107.0,96.0,100.0,108.0
362,Garrett Howe,CLE,2B/SS/3B,23.3,827628,98.0,104.0,86.0,129.0,98.0
363,Jonathan Martinez,CLE,2B/3B/SS,19.2,808159,,,,,
364,Ricardo Romero,CLE,2B/3B/LF,17.7,829997,,,,,
365,Will Wilson,CLE,3B/2B/SS,27.3,669717,98.0,94.0,99.0,94.0,105.0
366,Dayan Frias,CLE,3B/1B/SS,23.4,682679,103.0,104.0,94.0,106.0,109.0
367,Juan Benjamin,CLE,3B/2B,22.5,691405,104.0,102.0,93.0,109.0,95.0
368,Tyresse Turner,CLE,3B/2B/1B,25.8,687930,99.0,96.0,90.0,127.0,90.0
369,Luke Hill,CLE,3B/2B/SS,21.6,702619,101.0,,,,
370,Jeffrey Mercedes,CLE,3B/2B/1B,21.1,800253,105.0,97.0,98.0,95.0,89.0
371,Rodny Rosario,CLE,3B/SS,18.0,829993,,,,,
372,Milan Tolentino,CLE,SS/2B/3B,24.0,675455,100.0,94.0,104.0,111.0,110.0
373,Yordys Valdes,CLE,SS/2B/3B,24.2,686798,96.0,86.0,91.0,112.0,100.0
374,Angel Genoa,CLE,SS,21.5,694197,105.0,106.0,97.0,97.0,88.0
375,Jose D. Devers,CLE,SS/2B,22.5,691410,101.0,92.0,110.0,105.0,108.0
376,Jose D. Devers,CLE,SS/2B,22.5,691410,101.0,92.0,98.0,105.0,108.0
377,Jose D. Devers,CLE,SS/2B,22.5,691410,101.0,86.0,110.0,105.0,108.0
378,Jose D. Devers,CLE,SS/2B,22.5,691410,101.0,86.0,98.0,105.0,108.0
379,Jose D. Devers,CLE,SS/2B,22.5,691410,100.0,92.0,110.0,105.0,108.0
380,Jose D. Devers,CLE,SS/2B,22.5,691410,100.0,92.0,98.0,105.0,108.0
381,Jose D. Devers,CLE,SS/2B,22.5,691410,100.0,86.0,110.0,105.0,108.0
382,Jose D. Devers,CLE,SS/2B,22.5,691410,100.0,86.0,98.0,105.0,108.0
383,Alex Mooney,CLE,SS/3B/2B,23.3,695612,99.0,93.0,97.0,119.0,106.0
384,Dean Curley,CLE,SS/3B/2B,21.6,806053,,,,,
385,Welbyn Francisca,CLE,SS,19.5,806988,102.0,106.0,93.0,135.0,100.0
386,Dauri Fernandez,CLE,SS/3B/2B,18.7,821171,,,,,
387,Gabriel J. Rodriguez,CLE,SS/3B/2B,18.5,821657,,,,,
388,Johan A. Rodriguez,CLE,SS/2B/3B,18.3,821759,,,,,
389,Nolan Jones,CLE,RF/CF/LF,27.5,666134,96.0,110.0,130.0,101.0,117.0
390,Petey Halpin,CLE,CF/LF/RF,23.4,690984,105.0,93.0,99.0,104.0,112.0
391,Jhonkensy Noel,CLE,RF/1B/LF,24.3,678877,98.0,90.0,122.0,84.0,117.0
392,Kahlil Watson,CLE,CF/LF/RF,22.6,696135,100.0,93.0,114.0,113.0,101.0
393,Joe Lampe,CLE,LF/RF/CF,24.9,802407,102.0,101.0,99.0,110.0,106.0
394,Guy Lipscomb Jr.,CLE,RF/CF/LF,24.6,805865,105.0,109.0,94.0,115.0,100.0
395,Alfonsin Rosario,CLE,CF/RF/LF,21.4,806210,99.0,92.0,119.0,103.0,108.0
396,Jake Fox,CLE,CF/LF/RF,22.7,695780,100.0,111.0,98.0,105.0,100.0
397,Wuilfredo Antunez,CLE,RF/LF,23.5,686404,106.0,92.0,117.0,111.0,99.0
398,Jonah Advincula,CLE,LF/CF/1B,24.8,809945,103.0,119.0,102.0,133.0,100.0
399,Esteban Gonzalez,CLE,LF/CF/RF,22.6,691416,104.0,89.0,105.0,126.0,99.0
400,Jorge Burgos,CLE,RF/LF,23.9,684222,102.0,96.0,108.0,87.0,98.0
401,Jaison Chourio,CLE,CF/RF/LF,20.5,702693,98.0,121.0,90.0,104.0,92.0
402,Nick Mitchell,CLE,CF/LF/RF,22.2,814455,102.0,118.0,,121.0,103.0
403,Ryan Cesarini,CLE,RF/CF/LF,22.9,825761,102.0,118.0,96.0,126.0,100.0
404,Tommy Hawke,CLE,LF/CF/2B,23.3,803142,101.0,131.0,88.0,149.0,88.0
405,Jace LaViolette,CLE,CF/RF/LF,21.9,702593,,,,,
406,Juneiker Caceres,CLE,RF/CF/LF,18.2,821181,107.0,,,103.0,
407,Aaron Walton,CLE,CF/RF,21.5,830239,101.0,,,,
408,Jose D. Pirela,CLE,RF/LF/CF,19.6,808141,100.0,86.0,105.0,111.0,104.0
409,Robert Arias,CLE,CF/LF/RF,19.1,815897,,,,,
410,Yeiferth Castillo,CLE,LF/RF/CF,19.0,821151,,,,,
411,Angel Abreu,CLE,LF/CF/SS,17.2,834685,,,,,
412,Alejandro Blasco,CLE,LF/RF/3B,18.6,821246,,,,,
413,Carlos Garces,CLE,CF/RF/2B,19.1,823727,,,,,
414,Colt Keith,DET,3B/2B/1B,24.2,690993,102.0,100.0,120.0,87.0,118.0
415,Kerry Carpenter,DET,LF/RF,28.2,681481,99.0,,,81.0,118.0
416,Spencer Torkelson,DET,1B,26.2,679529,96.0,103.0,113.0,84.0,128.0
417,Riley Greene,DET,LF/RF/CF,25.1,682985,,,,81.0,126.0
418,Wenceel Perez,DET,RF/CF/LF,26.0,672761,102.0,111.0,99.0,108.0,105.0
419,Zach McKinstry,DET,3B/SS/RF,30.5,656716,,,,104.0,122.0
420,Dillon Dingler,DET,C,27.1,693307,100.0,98.0,117.0,87.0,110.0
421,Parker Meadows,DET,CF/LF/RF,26.0,678009,102.0,101.0,111.0,104.0,94.0
422,Javier Baez,DET,SS/CF/3B,32.9,595879,,,,88.0,117.0
423,Jake Rogers,DET,C,30.5,668670,,,,82.0,82.0
424,Andy Ibanez,DET,3B/2B/1B,32.6,628451,104.0,104.0,99.0,95.0,116.0
425,Jahmai Jones,DET,RF/LF/CF,28.2,663330,100.0,106.0,107.0,104.0,108.0
426,Matt Vierling,DET,CF/RF/3B,29.1,663837,96.0,,,90.0,88.0
427,Tomas Nido,DET,C,31.6,621512,103.0,87.0,89.0,78.0,85.0
428,Eduardo Valencia,DET,C/1B,25.8,680664,101.0,99.0,113.0,80.0,96.0
429,Eliezer Alfonzo,DET,C,26.1,672613,106.0,124.0,95.0,89.0,85.0
430,Josue Briceno,DET,C/1B,21.1,800522,101.0,110.0,115.0,87.0,98.0
431,Thayron Liranzo,DET,C,22.3,699073,98.0,99.0,111.0,82.0,101.0
432,Bennett Lee,DET,C,23.5,700939,92.0,99.0,90.0,79.0,85.0
433,Ricardo Hurtado,DET,C/1B,22.5,691452,103.0,89.0,111.0,83.0,96.0
434,Edian Espinal,DET,C/2B,21.1,832420,,,,,
435,Enderson Delgado,DET,C,21.1,800503,101.0,92.0,103.0,84.0,
436,Sergio Tapia,DET,C,23.2,685337,105.0,103.0,106.0,83.0,
437,Michael Oliveto,DET,C,18.7,834672,,,,,
438,Steven Madero,DET,C/1B,19.1,821591,,,,,
439,Jake Holton,DET,1B,27.7,687724,99.0,107.0,110.0,89.0,107.0
440,Garrett Pennington,DET,1B/LF/RF,25.1,693243,102.0,94.0,124.0,95.0,105.0
441,Andrew Jenkins,DET,1B,25.0,687543,106.0,92.0,96.0,86.0,93.0
442,Cristian Santana (det),DET,1B/3B/LF,21.9,694184,93.0,113.0,116.0,95.0,101.0
443,Cristian Santana (det),DET,1B/3B/LF,21.9,694184,93.0,110.0,116.0,95.0,101.0
444,Cristian Santana (det),DET,1B/3B/LF,21.9,694184,92.0,113.0,116.0,95.0,101.0
445,Cristian Santana (det),DET,1B/3B/LF,21.9,694184,92.0,110.0,116.0,95.0,101.0
446,Clayton Campbell,DET,1B/3B/C,22.1,693073,97.0,101.0,89.0,91.0,
447,Max Anderson,DET,2B/3B,23.7,801194,106.0,98.0,104.0,87.0,108.0
448,Jack Penney,DET,2B/SS,23.2,802599,99.0,111.0,95.0,94.0,95.0
449,Peyton Graham,DET,2B/3B/SS,24.8,689931,103.0,101.0,97.0,110.0,95.0
450,Samuel Gil,DET,2B/3B/SS,21.0,800510,100.0,112.0,78.0,100.0,105.0
451,Abel Bastidas,DET,2B/3B/SS,21.9,694201,103.0,87.0,88.0,86.0,83.0
452,Edgar Lugo,DET,2B/3B/LF,21.2,814812,,,,,
453,Ronald Ramirez,DET,2B/LF/RF,19.1,821790,,,,,
454,Jace Jung,DET,3B/2B,25.1,690291,98.0,106.0,111.0,87.0,115.0
455,Hao Yu Lee,DET,3B/2B,22.7,701678,100.0,102.0,100.0,104.0,109.0
456,Gage Workman,DET,3B/SS/CF,26.0,669398,97.0,93.0,117.0,116.0,108.0
457,Carlos Mendoza,DET,3B/2B/LF,25.9,685332,103.0,125.0,90.0,103.0,99.0
458,Izaac Pacheco,DET,3B/1B,23.0,691789,99.0,98.0,113.0,88.0,101.0
459,Danny Serretti,DET,3B/2B/SS,25.5,681400,102.0,103.0,94.0,93.0,85.0
460,Carson Rucker,DET,3B/SS,21.2,813620,106.0,89.0,88.0,101.0,111.0
461,Juan D. Hernandez,DET,3B/SS/2B,19.6,808037,,,,,
462,Javier Osorio,DET,3B/2B,20.6,703157,,,,,
463,Nestor Miranda,DET,3B,19.7,815930,,,,,
464,Guillermo Batista,DET,3B/2B/1B,18.9,821787,,,,,
465,Trey Sweeney,DET,SS,25.5,700242,103.0,102.0,106.0,101.0,116.0
466,Kevin McGonigle,DET,SS/3B/2B,21.2,805808,107.0,131.0,118.0,104.0,97.0
467,Andrew Navigato,DET,SS/2B/LF,27.4,685382,99.0,90.0,104.0,109.0,104.0
468,Trei Cruz,DET,SS/CF/3B,27.3,669360,102.0,110.0,103.0,99.0,116.0
469,John Peck,DET,SS/3B/2B,23.3,807726,105.0,90.0,97.0,111.0,110.0
470,Bryce Rainer,DET,SS,20.3,800614,98.0,,,108.0,
471,Franyerber Montilla,DET,SS/2B,20.6,800508,108.0,97.0,97.0,125.0,85.0
472,Woody Hadeen,DET,SS/CF/2B,23.3,802219,103.0,113.0,83.0,123.0,106.0
473,Jordan Yost,DET,SS,18.9,803723,,,,,
474,Jude Warwick,DET,SS/2B,20.2,827672,100.0,,,,
475,Jack Goodman,DET,SS/3B,22.1,806275,,,,,
476,Jose Dickson,DET,SS/2B,19.0,820988,,,,,
477,Angel De Los Santos,DET,SS/2B,17.7,829751,,,,,
478,Justyn-Henry Malloy,DET,RF/1B/LF,25.7,669234,101.0,116.0,103.0,87.0,116.0
479,Justice Bigbie,DET,LF/RF/1B,26.8,694425,106.0,106.0,93.0,86.0,105.0
480,Chris Meyers,DET,LF/1B/RF,26.5,680273,101.0,98.0,108.0,87.0,92.0
481,Austin Murr,DET,LF/RF/1B,26.8,689456,102.0,111.0,106.0,106.0,93.0
482,Ben Malgeri,DET,RF/CF/LF,25.8,701162,104.0,96.0,107.0,104.0,96.0
483,Max Clark,DET,CF,20.9,703601,102.0,122.0,99.0,104.0,108.0
484,Roberto Campos,DET,RF/CF/LF,22.4,691449,101.0,94.0,97.0,95.0,101.0
485,Seth Stephenson,DET,RF/CF/LF,24.8,700931,101.0,102.0,95.0,134.0,103.0
486,Brett Callahan,DET,RF/CF/LF,24.0,814430,105.0,90.0,112.0,111.0,80.0
487,Cole Turney,DET,LF/RF,26.8,669318,98.0,,,96.0,
488,Daniel Cabrera,DET,RF/LF/CF,27.2,668667,100.0,114.0,89.0,93.0,
489,Jackson Strong,DET,CF/RF/LF,22.2,825924,100.0,98.0,103.0,114.0,99.0
490,Patrick Lee,DET,RF/LF/CF,26.0,815268,96.0,100.0,97.0,132.0,99.0
491,David Smith,DET,LF/RF/CF,24.7,808818,97.0,113.0,87.0,117.0,
492,Nick Dumesnil,DET,CF/RF/LF,21.6,825094,100.0,,,,
493,Zach MacDonald,DET,CF/LF/RF,22.3,822487,92.0,91.0,107.0,132.0,
494,Jesus Pinto,DET,CF/RF,18.6,821765,,,,,
495,Maikol Orozco,DET,LF/3B/RF,20.2,807004,,,,,
496,Anibal Salas,DET,CF/RF/LF,20.1,807010,,,,,
497,Cris Rodriguez,DET,CF/RF/LF,17.8,829038,,,,,
498,Josueth Quinonez,DET,CF/RF/LF,18.7,815017,,,,,
499,Samuell Sanchez,DET,LF/RF/CF,20.2,823882,,,,,
500,Santiago Pinto,DET,LF/CF/RF,19.7,808392,,,,,
501,Maikel Garcia,KC,3B/2B/SS,25.7,672580,99.0,,,103.0,129.0
502,Bobby Witt Jr.,KC,SS,25.4,677951,,,,112.0,129.0
503,Vinnie Pasquantino,KC,1B,28.1,686469,,,,89.0,126.0
504,Carter Jensen,KC,C,22.3,695600,99.0,104.0,115.0,98.0,115.0
505,Jac Caglianone,KC,RF/1B,22.7,695506,105.0,96.0,128.0,89.0,115.0
506,Jonathan India,KC,2B/LF/3B,28.9,663697,,,,93.0,120.0
507,Michael Massey,KC,2B/LF,27.6,686681,107.0,,103.0,90.0,110.0
508,John Rave,KC,LF/CF/RF,27.8,670231,96.0,104.0,109.0,111.0,116.0
509,Kyle Isbel,KC,CF/RF/LF,28.7,664728,,,,91.0,117.0
510,Luca Tresh,KC,C,25.8,681123,99.0,95.0,107.0,87.0,91.0
511,Nick Loftin,KC,3B/LF/2B,27.1,679845,101.0,126.0,102.0,95.0,108.0
512,Tyler Tolbert,KC,CF/2B/LF,27.8,686475,99.0,93.0,88.0,156.0,105.0
513,Dairon Blanco,KC,LF/CF/RF,32.5,680118,99.0,97.0,93.0,146.0,98.0
514,Salvador Perez,KC,C/1B,35.5,521692,,,,89.0,127.0
515,Kyle Hayes,KC,C,28.1,690469,93.0,108.0,,86.0,70.0
516,Omar Hernandez,KC,C,23.9,683427,104.0,94.0,89.0,112.0,87.0
517,Blake Mitchell,KC,C,21.3,805810,97.0,105.0,106.0,107.0,
518,Dionmy Salon,KC,C,24.0,682934,102.0,98.0,88.0,91.0,
519,Ramon Ramirez,KC,C,20.4,808675,101.0,100.0,121.0,98.0,93.0
520,Canyon T. Brown,KC,C,22.2,701401,100.0,97.0,89.0,101.0,82.0
521,Gabriel Silva,KC,C/1B,21.9,700385,95.0,,118.0,86.0,
522,Brooks Bryan,KC,C,21.3,804871,,,,,
523,Hyungchan Um,KC,C,21.5,805870,97.0,100.0,99.0,88.0,89.0
524,Jhosmmel Zue,KC,C,21.7,702435,,,,,
525,Moises Marchan,KC,C,18.0,829081,,,,,
526,Jose N. Montilla,KC,C,17.8,830437,,,,,
527,Brett Squires,KC,1B/RF/LF,25.7,689531,102.0,91.0,107.0,109.0,106.0
528,Chris Brito,KC,1B,26.1,701594,100.0,112.0,93.0,91.0,82.0
529,Stone Russell,KC,1B/3B/2B,21.4,806212,100.0,105.0,96.0,95.0,109.0
530,JC Vanek,KC,1B/RF,21.1,834408,,,,,
531,Omar Reyes,KC,1B,20.7,808683,,,,,
532,Javier Vaz,KC,2B/LF,25.1,805834,103.0,141.0,92.0,108.0,100.0
533,Peyton Wilson,KC,2B/CF/LF,26.0,686523,101.0,96.0,88.0,110.0,105.0
534,Sam Kulasingam,KC,2B/LF,24.3,814528,104.0,109.0,90.0,109.0,112.0
535,Justin Johnson,KC,2B/3B,25.6,813386,100.0,99.0,96.0,97.0,101.0
536,Tyriq Kemp,KC,2B/SS,23.0,822743,100.0,,,,
537,Jorge Hernandez,KC,2B/3B,19.9,808702,101.0,,89.0,100.0,
538,Sam Ruta,KC,3B/1B,24.0,695586,95.0,93.0,102.0,84.0,92.0
539,Austin Charles,KC,3B/SS,22.0,800051,100.0,89.0,100.0,122.0,86.0
540,Derlin Figueroa,KC,3B/1B,22.2,700283,102.0,97.0,100.0,109.0,110.0
541,Jose Cerice,KC,3B/1B,20.5,822177,112.0,,,98.0,
542,Josh Hammond,KC,3B,19.1,815843,,,,,
543,Colton Becker,KC,SS/3B/2B,24.5,813851,99.0,114.0,85.0,144.0,98.0
544,Dustin Dickerson,KC,SS/2B,24.6,815039,99.0,114.0,88.0,102.0,106.0
545,Daniel Vazquez,KC,SS,21.9,694187,101.0,99.0,89.0,111.0,104.0
546,Jack Pineda,KC,SS/3B/2B,26.2,801442,102.0,98.0,91.0,100.0,87.0
547,Yandel Ricardo,KC,SS,19.1,815902,105.0,89.0,88.0,130.0,109.0
548,Warren Calcano,KC,SS,18.0,829071,,,,,
549,Ramcell Medina,KC,SS,18.0,829096,,,,,
550,Jhonayker Ugarte,KC,SS/3B,18.6,821716,,,,,
551,Luis Steven King,KC,SS/3B,17.9,830443,,,,,
552,MJ Melendez,KC,LF/RF,26.9,669004,102.0,87.0,119.0,109.0,119.0
553,Drew Waters,KC,CF/LF/RF,26.8,671221,103.0,92.0,104.0,109.0,112.0
554,Carson Roccaforte,KC,CF/LF,23.6,811287,96.0,103.0,110.0,126.0,110.0
555,Gavin Cross,KC,RF/CF/LF,24.7,688457,101.0,90.0,106.0,116.0,106.0
556,Tyler Gentry,KC,RF/LF,26.8,694355,96.0,97.0,103.0,96.0,97.0
557,Spencer Nivens,KC,LF/RF,24.0,811289,99.0,106.0,101.0,97.0,108.0
558,Trevor Werner,KC,RF/3B/1B,25.2,687731,97.0,91.0,105.0,120.0,97.0
559,Nolan Sailors,KC,CF,22.3,823073,98.0,,,136.0,
560,Asbel Gonzalez,KC,CF/LF,19.8,808706,102.0,105.0,86.0,150.0,108.0
561,Erick Torres,KC,LF/CF/RF,20.9,805075,104.0,106.0,88.0,108.0,106.0
562,Carter Frederick,KC,RF/LF,23.3,815150,99.0,88.0,95.0,112.0,101.0
563,Luke Nowak,KC,LF/CF/RF,22.9,804114,101.0,,,102.0,
564,Daniel J. Lopez,KC,CF/RF/LF,20.1,808693,,,,,
565,Henry Ramos (kc),KC,RF/LF/CF,21.1,703201,102.0,101.0,94.0,118.0,112.0
566,Roni Cabrera,KC,RF/LF,20.3,800492,95.0,,,,
567,Sean Gamble,KC,CF/2B,19.3,815819,,,,,
568,Jose A. Paulino,KC,CF/LF/RF,20.0,808685,,,,,
569,Raimel Medina,KC,LF/RF/CF,21.0,801736,,,,,
570,Byron Buxton,MIN,CF,31.9,621439,,,,91.0,110.0
571,Trevor Larnach,MIN,LF/RF,28.7,663616,96.0,103.0,118.0,88.0,116.0
572,Luke Keaschall,MIN,2B,23.2,807712,101.0,118.0,109.0,115.0,92.0
573,Matt Wallner,MIN,RF/LF,27.9,670242,99.0,92.0,131.0,94.0,111.0
574,Ryan Jeffers,MIN,C,28.4,680777,,,,90.0,109.0
575,Kody Clemens,MIN,1B/2B/LF,29.5,665019,100.0,101.0,117.0,98.0,113.0
576,Royce Lewis,MIN,3B,26.4,668904,98.0,,,104.0,104.0
577,Brooks Lee,MIN,SS/3B/2B,24.7,686797,105.0,105.0,105.0,91.0,118.0
578,Austin Martin,MIN,LF/CF/2B,26.6,668885,106.0,124.0,87.0,102.0,95.0
579,Mickey Gasper,MIN,C/1B/2B,30.1,681508,104.0,122.0,109.0,90.0,96.0
580,Jose Miranda,MIN,3B/1B,27.3,669304,99.0,102.0,89.0,86.0,107.0
581,Carson McCusker,MIN,RF/LF,27.5,676812,100.0,90.0,120.0,92.0,109.0
582,James Outman,MIN,CF/RF/LF,28.5,681546,99.0,94.0,124.0,109.0,118.0
583,Jhonny Pereda,MIN,C,29.5,640902,106.0,109.0,92.0,79.0,91.0
584,Ricardo Olivar,MIN,C/LF,24.2,691627,102.0,106.0,104.0,99.0,100.0
585,Noah Cardenas,MIN,C,26.1,681433,101.0,109.0,94.0,86.0,89.0
586,Patrick Winkel,MIN,C,25.8,680868,104.0,106.0,102.0,89.0,79.0
587,Patrick Winkel,MIN,C,25.8,680868,104.0,90.0,102.0,89.0,79.0
588,Patrick Winkel,MIN,C,25.8,680868,100.0,106.0,102.0,89.0,79.0
589,Patrick Winkel,MIN,C,25.8,680868,100.0,90.0,102.0,89.0,79.0
590,Nate Baez,MIN,C/1B,24.5,686960,100.0,104.0,105.0,88.0,93.0
591,Andrew Cossetti,MIN,C/1B,25.8,681355,95.0,104.0,111.0,91.0,93.0
592,Poncho Ruiz,MIN,C/1B,23.7,695000,101.0,110.0,91.0,83.0,101.0
593,Eduardo Tait,MIN,C,19.2,806953,105.0,91.0,120.0,86.0,107.0
594,Khadim Diaw,MIN,C/CF/RF,22.2,813715,102.0,112.0,,97.0,
595,Enrique Jimenez,MIN,C/1B,20.0,806992,98.0,,,92.0,
596,Daniel Pena,MIN,C,20.7,805015,100.0,110.0,83.0,78.0,80.0
597,Ricardo Pena,MIN,C/1B,20.4,800547,,,,,
598,Pablo Castillo,MIN,C/1B,17.5,825181,,,,,
599,Irvin Nunez,MIN,C/1B,19.7,815966,,,,,
600,Aaron Sabato,MIN,1B,26.4,693306,97.0,91.0,115.0,84.0,101.0
601,Andy Lugo,MIN,1B/3B/LF,21.6,702889,103.0,94.0,101.0,108.0,88.0
602,Jaime Ferrer,MIN,1B/C/RF,22.9,695634,102.0,90.0,97.0,92.0,106.0
603,JP Smith II,MIN,1B,21.0,823770,104.0,,,91.0,
604,Jayson Bass,MIN,1B/RF/LF,19.5,814188,,,,,
605,Edouard Julien,MIN,2B/1B,26.5,666397,101.0,113.0,100.0,94.0,119.0
606,Jake Rucker,MIN,2B/3B/1B,26.1,696160,101.0,105.0,97.0,98.0,99.0
607,Jorel Ortega,MIN,2B/1B/3B,24.8,687567,100.0,96.0,100.0,105.0,92.0
608,Kyle DeBarge,MIN,2B/SS/CF,22.3,814414,99.0,106.0,98.0,140.0,116.0
609,Jose Salas,MIN,2B/SS/CF,22.5,691191,103.0,86.0,98.0,121.0,95.0
610,Dameury Pena,MIN,2B/LF,20.2,808365,101.0,127.0,82.0,116.0,104.0
611,Ramiro Dominguez,MIN,2B/SS/3B,18.6,823719,,,,,
612,Jose Barrios,MIN,2B/SS/3B,17.8,829737,,,,,
613,Tanner Schobel,MIN,3B/SS/2B,24.4,802355,100.0,105.0,102.0,98.0,96.0
614,Rubel Cespedes,MIN,3B/1B,25.2,686438,103.0,100.0,104.0,86.0,100.0
615,Billy Amick,MIN,3B/1B,23.0,701771,98.0,98.0,104.0,88.0,83.0
616,Danny De Andrade,MIN,3B/2B/SS,21.6,694185,103.0,95.0,102.0,109.0,107.0
617,Jay Thomason,MIN,3B/1B/LF,23.6,823295,97.0,112.0,126.0,121.0,80.0
618,Rayne Doncon,MIN,3B/SS/2B,22.1,699061,100.0,95.0,114.0,90.0,
619,Quentin Young,MIN,3B/SS,18.7,815839,,,,,
620,Ryan Sprock,MIN,3B/LF/C,21.1,823779,101.0,,,,
621,Yilber Herrera,MIN,3B/2B/SS,20.8,703191,,,,,
622,Darwin Almanzar,MIN,3B/2B,18.0,829714,,,,,
623,Ryan Fitzgerald,MIN,SS/2B/3B,31.4,680837,100.0,96.0,106.0,100.0,99.0
624,Payton Eeles,MIN,SS/2B/LF,26.0,823356,100.0,114.0,82.0,118.0,99.0
625,Ben Ross,MIN,SS/CF/3B,24.4,805346,99.0,98.0,104.0,105.0,108.0
626,Will Holland,MIN,SS/CF/3B,27.5,683735,96.0,96.0,100.0,117.0,90.0
627,Kaelen Culpepper,MIN,SS/2B/3B,22.8,701785,102.0,103.0,107.0,107.0,110.0
628,Marek Houston,MIN,SS,21.6,701339,103.0,,,114.0,
629,Bryan Acuna,MIN,SS/3B/2B,20.2,703195,100.0,98.0,68.0,101.0,102.0
630,Bruin Agbayani,MIN,SS/2B,18.6,828202,,,,,
631,Shai Robinson,MIN,SS/2B/LF,21.5,804610,,,,,
632,Haritzon Castillo,MIN,SS/2B/3B,17.6,829061,,,,,
633,Daiber De Los Santos,MIN,SS,19.1,815893,,,,,
634,Santiago Leon,MIN,SS/2B/3B,17.4,829054,,,,,
635,Emmanuel Rodriguez (min),MIN,CF/RF/LF,22.7,691181,95.0,115.0,117.0,107.0,83.0
636,Alan Roden,MIN,LF/RF/CF,25.9,702176,107.0,124.0,108.0,98.0,102.0
637,DaShawn Keirsey,MIN,CF/RF/LF,28.5,680577,104.0,94.0,95.0,127.0,107.0
638,Ryan Kreidler,MIN,CF/SS/2B,28.0,668952,98.0,99.0,98.0,110.0,108.0
